Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity Ratio,Intensity_RBM,Shift_RBM
0,0.20017312484886596,1537.1128496506383,27.376289264573533,0.9422956020186624,1586.266230979815,27.08475867798049,0.07492592904778625,1301.5833678885763,52.051826443180786,0.16114881644514273,2587.5433715577833,83.93772380486465,0.07951425103467938,[0.05039384 0.07676414 0.05041273],[256. 282. 306.]
1,0.19970443522459877,1528.2789147780618,29.759288478041135,0.950797373412315,1577.7028567465563,33.30950892042213,0.05339480215222987,1301.710083261693,61.65782409059535,0.19270738756101644,2575.9181682533026,104.55958474233832,0.056157919284738206,[0.05969485 0.06064171 0.06770762 0.06538126],[213. 252. 281. 304.]
2,0.17994188810988893,1533.7747540054124,26.87205166159751,0.958644124698106,1582.3068193336956,26.39144192116342,0.06665612069358076,1299.553145695339,55.74121949481293,0.16223697142035115,2583.8552954839033,86.80068322670607,0.06953166349876912,[0.05521299 0.0543439  0.04836746],[282. 306. 333.]
3,0.2021030157263237,1536.224670249297,26.554803967499176,0.9385468106935834,1585.3983196747868,26.82820576338141,0.07609720105813157,1300.0611178635338,54.13326226387359,0.1569741392555863,2585.5362543108326,88.48660729351352,0.08107981423099819,[0.05712123 0.07517942 0.06098081],[255. 282. 306.]
4,0.20298982026042184,1533.9518106667554,29.086329057410243,0.9445018227183388,1583.198339079376,28.969918061340092,0.07975663324541456,1300.1652137245335,55.18291018668971,0.16447889717687023,2583.457565006868,93.06953297936292,0.08444306969770549,[0.05380965 0.06992857 0.06160441],[254. 281. 305.]
5,0.16684289690006265,1532.6315877409863,27.55225567857334,0.9663169927382304,1580.9707406253867,26.719082875819044,0.059806280439558,1298.8822686513597,52.312988704662786,0.16090501119615336,2583.498904339663,84.3467854861539,0.06189095388883342,[0.05511229 0.0530556 ],[281. 305.]
6,0.1929470668707566,1534.762044022825,27.90598190362985,0.9565691990354827,1583.5623748752614,26.86130649401156,0.0712245716736807,1299.408963417843,53.459936757076726,0.1486319693087671,2584.5267019685325,86.18760760262055,0.07445835779104855,[0.06156215 0.0538053  0.04893529],[281. 306. 333.]
7,0.19653740560455554,1534.7627635653769,26.67275608673072,0.9571927710963564,1583.6996519373035,26.805754024187465,0.06982377642511955,1299.9023553458435,57.40566092689581,0.14852562538583466,2585.0361767492404,86.43417061472614,0.07294641009996794,[0.06060817 0.0519158  0.04771625],[281. 306. 333.]
8,0.20503271253004532,1534.706032054868,27.60300373063136,0.9527800904153915,1583.923059496495,27.946306587885942,0.08141415478692743,1299.9308970344969,55.06017519954623,0.1471499808940689,2584.788845916294,89.784912451537,0.0854490512615903,[0.06384003 0.05713914 0.05111996],[282. 306. 333.]
9,0.17242147852970913,1532.0326817257148,27.65678549509084,0.965864190756713,1580.5543788676594,26.760092660690074,0.058019436745872545,1298.1732249654392,51.489856488745765,0.1485309391648252,2582.410866435911,86.2741195246656,0.060069973916743735,[0.05672407 0.05737278],[281. 305.]
10,0.1800255078998786,1534.0226741087795,27.145914445502118,0.9636656090111243,1582.5077209766819,26.181492942044954,0.06390497795257305,1299.0887536108114,52.280303562612914,0.14431530054814146,2584.497285600544,83.80424626936873,0.06631447397832306,[0.05745929 0.05325544 0.04786589],[281. 306. 333.]
11,0.20480697369582274,1533.58657319762,29.17492573099436,0.9431784713638289,1583.1543731965396,28.721799320643914,0.07450426073707356,1299.1706746314144,58.30299344852531,0.14599177340653713,2583.0984043426665,91.59597863473412,0.07899274951573158,[0.06840161 0.06189638],[281. 305.]
12,0.2000602339002001,1535.7811756671874,25.99718792881093,0.9552204382441423,1584.730930919958,26.27792408404933,0.06843383590425514,1299.9569841647967,52.68477521419005,0.15626304210343178,2585.605389311437,86.93644761466022,0.07164193013923381,[0.05949159 0.04847324],[281. 306.]
13,0.21400739571742736,1531.2051087860027,31.63871627034677,0.9339570576381805,1580.927882328182,29.798575793536852,0.06943631777801765,1298.804379412012,55.53600334587252,0.161608749408425,2579.673456050506,99.26658600074039,0.07434637086378507,[0.06411553 0.07206344 0.05833313],[281. 305. 332.]
14,0.19605556456954645,1532.8571803117288,29.37814955287607,0.9555365447557304,1581.4902690904103,29.562876383327122,0.054778791701466434,1299.9672686949118,54.329894578208844,0.17334635471061316,2581.4577017134598,95.98144568398467,0.057327783015844645,[0.05418662 0.07059422 0.06460304],[254. 282. 305.]
15,0.1883972842374187,1526.0515545240978,30.906198522160157,0.969786413529651,1575.3554268898922,34.1637167578374,0.06316891084134159,1305.63583003361,85.81230257640638,0.19037975783851205,2576.0892878093814,104.47422464425063,0.06513693114283892,[0.05170513 0.0490206  0.06070427 0.05887273],[212. 253. 279. 304.]
16,0.23228928165991639,1539.7369932400898,25.25034647368048,0.9308555221319156,1589.4658310601,27.810332661317453,0.09062679839511133,1304.9527760903786,66.51806138644244,0.14782772721695106,2590.2238642386656,87.72463449720786,0.09735860854920965,[0.05545362 0.09195007 0.05890371],[256. 283. 308.]
17,0.22594007556603396,1533.1181814035867,34.8453715371595,0.9171432201356066,1584.1764090615407,32.51482320361129,0.10179730749981301,1301.6092243061134,64.67619894447364,0.16842940194455086,2580.094710977907,108.2037736325879,0.11099390505744731,[0.09048177 0.08745638 0.08253188],[281. 304. 332.]
18,0.18167503897713166,1536.181369106945,27.953183109397855,0.9474680112334007,1584.6710827754207,26.8630562539611,0.08775931434337592,1303.0791719130407,63.71016531157157,0.15163571382797975,2586.5626795013327,89.70474596005589,0.09262509478196743,[0.07854764 0.06159944],[283. 307.]
19,0.17981611634418113,1538.2729830151638,23.111261433240102,0.9682162688044099,1586.1588417819999,23.538632650682857,0.06307547879270507,1301.1150606102174,47.69325487867659,0.15168438036824822,2589.5801101395787,77.04969920185776,0.06514606377208788,[0.03938886 0.06066723 0.04179334],[256. 282. 307.]
