Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity_RBM,Shift_RBM,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.20017406887399702,1537.1128104868676,27.37584226127816,0.9422955344027598,1586.2662235378139,27.084790080700465,0.07172848931269107,1301.187799249677,47.25375528777566,0.15807351907431358,2587.493353980655,79.46373196454667,[0.05039384 0.07676414 0.05041273],[256. 282. 306.],0.07612101160826747,0.16775365403222758
1,0.19970369327118848,1528.2789906364358,29.759771131230657,0.9507973809062382,1577.7028683610472,33.3094527134351,0.048558734997534145,1300.5636838566838,50.74567779120841,0.18632964388990997,2575.6034577195683,98.85506005600443,[0.05969485 0.05155284 0.06064171 0.06770762 0.06538126],[213. 241. 252. 281. 304.],0.0510715910378835,0.19597197850115308
2,0.17994129247781784,1533.774792756661,26.872359786363575,0.9586441754850544,1582.3068244818103,26.391420503739162,0.06415035292739091,1299.172069760989,52.16951263675463,0.15878649571642275,2583.751745157394,82.30364222090418,[0.04324684 0.05521299 0.0543439  0.04836746],[255. 282. 306. 333.],0.06691779345024669,0.1656365310268328
3,0.20210236634501413,1536.2247213961182,26.555099342513575,0.9385468695520691,1585.398325892933,26.82818028561226,0.07383505394744358,1299.7937473883176,51.10199629810608,0.1531779791978288,2585.4813464830763,82.99275191148931,[0.05712123 0.07517942 0.06098081 0.05591775],[255. 282. 306. 333.],0.07866954367732545,0.16320759694285117
4,0.20299001921222024,1533.9518187393774,29.08622628656617,0.9445018062034409,1583.1983374531749,28.96992321372297,0.07610182254068422,1299.703790534423,50.33389888492771,0.1600595344911174,2583.3656842023875,87.29140366756677,[0.05071274 0.05380965 0.06992857 0.06160441 0.05259253],[215. 254. 281. 305. 333.],0.08057350662629889,0.16946450863286266
5,0.1668429918842301,1532.6316298985867,27.552207567858712,0.96631692925749,1580.970741078645,26.719083748513494,0.05702293696521068,1298.4581931661542,47.8758666216583,0.15751803794375774,2583.419064436016,79.8677903165041,[0.0415445  0.05511229 0.0530556  0.04249145],[255. 281. 305. 333.],0.05901059501154206,0.16300867052468315
6,0.19294731546224583,1534.7620187718899,27.905852521370214,0.9565691879048601,1583.5623725162704,26.86131725650665,0.0682126227458423,1298.9959638284897,49.20496767542084,0.14536969232966293,2584.46259225785,81.25770846346639,[0.04501936 0.06156215 0.0538053  0.04893529],[254. 281. 306. 333.],0.07130965915308857,0.15196986707052634
7,0.19653833961860667,1534.7627014836823,26.67231914852358,0.9571926841568876,1583.6996440041532,26.80578875982905,0.06654373980842213,1299.3697123190577,52.64855621086192,0.14535927346710686,2584.965238921503,81.61256766640231,[0.04636256 0.06060817 0.0519158  0.04771625],[255. 281. 306. 333.],0.06951969118635193,0.15185999211343942
8,0.20503243823292505,1534.7060522900074,27.603137392149613,0.9527801165267838,1583.9230622389432,27.946294259058785,0.07804814728760026,1299.5274770586686,50.98304837844084,0.14371763321325165,2584.706757655239,84.51433870578566,[0.04854092 0.06384003 0.05713914 0.05111996],[255. 282. 306. 333.],0.08191622173236886,0.15084029433480686
9,0.1724211126109256,1532.0327036235562,27.65699478020651,0.9658642526876574,1580.554381699963,26.760076145025455,0.055312931978648235,1297.7439326702784,47.07542584144301,0.14495900617929436,2582.3308021667917,81.20267485281002,[0.05672407 0.05737278 0.04728992],[281. 305. 332.],0.057267811521890345,0.15008217332396856
