Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity_RBM,Shift_RBM,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.19952912098831962,1524.0609663383614,29.63772772469007,0.928761668005523,1574.600959855105,35.15020048439252,0.041490366753750556,1302.611297642239,57.71941804612904,0.16253531193986454,2573.484819894511,98.57420110951226,[0.04230337 0.05496581 0.03432532],[278. 303. 331.],0.044672781169844564,0.17500217498091017
1,0.21380179141106379,1528.3662474389603,31.233022648018732,0.9554274500971912,1578.3378674305327,34.23937788898866,0.043477182754138304,1297.369520433408,44.748595404598824,0.18261954066265396,2575.388582476335,93.5388502713568,[0.03848884 0.05199916 0.05675778],[251. 280. 304.],0.04550547794049205,0.19113909763015174
2,0.21329917429986173,1524.83410160251,30.32907662588739,0.9494152880413059,1575.7023738470407,32.998280067224314,0.03631356482697826,1296.1438034009686,46.02665293684127,0.16418892965352083,2571.7710322541375,100.08717722974075,[0.04383786 0.06441895 0.05152322],[279. 304. 331.],0.038248346413185606,0.17293689255020456
3,0.2007059431200247,1525.2455102645956,30.389640236302185,0.9565636604666441,1575.8250063895503,33.7993683220309,0.03723879669965626,1297.187078196832,49.570889085162875,0.17176011731808272,2574.0896561323393,95.86882806336929,[0.0465554  0.06648536 0.04789478],[280. 304. 332.],0.03892976310796703,0.17955952584932228
4,0.196743550573911,1524.4091519896365,30.240412300595935,0.9546412582474605,1575.0601445791553,34.77381560469833,0.045159532271471285,1301.844207441127,58.203487318563305,0.16745388053060842,2573.5925981875243,97.97773797884932,[0.04419595 0.0639306  0.04373932],[281. 304. 332.],0.04730523836186966,0.1754102696525204
5,0.21386125851914395,1524.5834373888708,31.463827840979455,0.946548624213715,1575.78551046488,35.3402831536719,0.05062452909777428,1300.9629880093953,57.787091272380415,0.1611954162759326,2572.5595068678435,103.02979437694333,[0.04283997 0.06512836 0.04614649],[280. 304. 331.],0.05348328422095314,0.17029808311203815
6,0.21594043673435057,1524.849754741719,30.874745736699573,0.9472670762673246,1575.8127399604828,34.36364793572295,0.04684104040106315,1298.8101732465375,52.635719267627884,0.1674820821532857,2572.456957293035,101.04631025786097,[0.04003059 0.06789787 0.05140779],[280. 304. 331.],0.04944861019094927,0.1768055560563167
7,0.21197605296988864,1523.3007141241214,32.97233091810234,0.9436368802757839,1574.2498710420937,36.7539626972944,0.05266954303075297,1300.1951491313841,59.37772779460965,0.166278406245209,2570.2192959713584,109.00327183077954,[0.03881452 0.04207204 0.06145244 0.04489781],[213. 281. 303. 331.],0.05581547746985044,0.17621016062514755
8,0.22266845726890244,1532.7504561138487,26.634279881604623,0.959264747015296,1581.6689602772315,31.708482676094995,0.06183211620843283,1298.5586949980416,42.72597102123339,0.17815050764712387,2580.6377642001157,87.05255761363753,[0.04575746 0.06364614 0.04927836],[252. 280. 304.],0.06445782188996349,0.18571568297639438
9,0.19380091538093705,1543.5448815493862,19.483360215029748,0.9562570322517077,1591.359584160351,22.192203717896103,0.08167637014368002,1307.6494870574845,49.79042707026192,0.1452057087768905,2596.640678937249,69.5940241712397,[0.04968604 0.09839795],[253. 283.],0.08541256941280305,0.1518479905292547
10,0.19996555100666047,1526.606625027059,31.388752622517124,0.9547214497006853,1576.3675245816316,32.623843007715074,0.04887784767379562,1295.9335076521634,42.714775305551676,0.17785725969990432,2575.023678862572,91.70848468976402,[0.03285733 0.03617908 0.04359933 0.05416496],[213. 251. 278. 304.],0.05119592493613641,0.18629230521181267
11,0.20869711869497815,1525.493072277689,32.17308887715961,0.9364761815808811,1575.380006425851,34.36253223121881,0.03272411704923318,1294.3328469017172,39.7212425366678,0.18369936004864812,2573.2965922175817,94.59573992610208,[0.03778695 0.04197168 0.04661145 0.05061682],[213. 252. 279. 303.],0.03494388612638396,0.19616020531194095
12,0.19443975741299244,1530.8400379011782,27.77829170546586,0.9482576752374366,1579.7489205866805,30.431464090516595,0.05396128714488626,1300.6497608072882,51.27133398033753,0.17179458553801427,2578.8826826250797,90.35311007638069,[0.04608349 0.05369221 0.05500248],[252. 279. 305.],0.05690572146581862,0.18116867389973743
13,0.19438887978082503,1533.38594329749,24.68099101530686,0.9464824231807543,1581.619627638083,28.575089817902555,0.06651536504901268,1301.934974099116,56.538261252490834,0.1548667751792801,2582.168052452994,85.59617228456594,[0.05274739 0.05500987 0.05761205],[252. 280. 305.],0.07027638698823456,0.16362350888549407
14,0.20285828772255937,1526.809790088417,29.68186636304333,0.9560408267505788,1576.4571110796562,32.29621945107673,0.03576892832671127,1294.996041298488,42.38694146543027,0.1784498277832734,2573.661432631605,94.4074764545929,[0.03995249 0.05027221 0.06041759],[251. 279. 304.],0.03741359921655627,0.1866550285198533
15,0.2093303351280337,1528.1275821933912,30.922024229782796,0.9658113956905273,1577.9354872879496,33.40991472044059,0.04440220443888484,1296.7946812044859,41.932390132778885,0.1888961864427762,2575.0197317119028,93.18788750519415,[0.0432751  0.05243866 0.05313851],[252. 280. 304.],0.04597399102662124,0.19558289256643205
16,0.21491220094649363,1528.9802274116178,30.17006322144547,0.9636827393951701,1578.9108437182194,34.27718623650969,0.04888499900956626,1297.9491021714348,45.44939277993097,0.18634184307645518,2576.598707852407,94.02168367665881,[0.04976665 0.05943711 0.05715853],[252. 280. 304.],0.05072727466328559,0.19336430493027995
17,0.2156679999326649,1530.5784394559555,31.453957156179527,0.9712422297743704,1580.4145738514287,34.513872681041775,0.048019108979692395,1298.3896183998145,41.899759225445955,0.1855998568120259,2577.921089843582,92.23153330007678,[0.04409635 0.06641824 0.04111659 0.04936225],[252. 282. 294. 304.],0.04944091958485756,0.1910953324745184
18,0.2013300509606771,1530.6871889107558,34.504450633469276,0.9713032310092944,1579.62654170028,33.90517466810799,0.04802965101873326,1297.4596865648189,37.79495135108757,0.1908415628707025,2579.477545591855,88.03884453487105,[0.04259246 0.05481211 0.06591265 0.05355901],[213. 252. 281. 304.],0.049448668021854505,0.19647990120695516
