Spectra #,Intensity_G,Shift_G,Intensity_D,Shift_D,Intensity_2D,Shift_2D,Intensity_RBM,Shift_RBM,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.9306471478270519,1573.0,0.043887810781343455,1292.0,0.15963631124380812,2581.0,[0.04230337 0.05496581 0.03432532],[278. 303. 331.],0.0471583788590726,0.1715325852730968
1,0.9536142545571269,1578.0,0.042301797778462207,1296.0,0.18313889511563672,2583.0,[0.03848884 0.05199916 0.05675778],[251. 280. 304.],0.04435944363909263,0.19204714510133788
2,0.9576814427421355,1575.0,0.03534463717195502,1290.0,0.16740080256169412,2573.0,[0.04383786 0.06441895 0.05152322],[279. 304. 331.],0.036906465547408424,0.1747980018098443
3,0.9583243462083346,1575.0,0.036085528225845806,1299.0,0.1769457015892534,2575.0,[0.0465554  0.06648536 0.04789478],[280. 304. 332.],0.03765481735763082,0.18464072449932975
4,0.9528951058726421,1574.0,0.04177960636042037,1297.0,0.16855447423379874,2575.0,[0.04419595 0.0639306  0.04373932],[281. 304. 332.],0.04384491651067874,0.17688670368333978
5,0.9500009027446331,1575.0,0.05146457568039037,1294.0,0.16301843828167065,2576.0,[0.04283997 0.06512836 0.04614649],[280. 304. 331.],0.054173186079828815,0.17159819302349774
6,0.9537985388709419,1575.0,0.0472232409697248,1296.0,0.1737999658221975,2570.0,[0.04003059 0.06789787 0.05140779],[280. 304. 331.],0.04951070802186934,0.18221873775140507
7,0.9436696717854255,1574.0,0.04663288517342598,1298.0,0.17092727369783325,2565.0,[0.03881452 0.04207204 0.06145244 0.04489781],[213. 281. 303. 331.],0.04941653479781377,0.18113040909160344
8,0.9589706582172952,1582.0,0.060095118694434485,1299.0,0.18386891784110765,2579.0,[0.04575746 0.06364614 0.04927836],[252. 280. 304.],0.06266627469723626,0.19173570772531853
9,0.9812807067103503,1590.0,0.08787017975535318,1303.0,0.15358576302238608,2594.0,[0.04968604 0.09839795],[253. 283.],0.08954642555842104,0.15651562490947943
10,0.9564101502687838,1576.0,0.0469032455666134,1294.0,0.17983783242308088,2574.0,[0.03285733 0.03617908 0.04359933 0.05416496],[213. 251. 278. 304.],0.049040932442458905,0.18803421562657016
11,0.9354645913775962,1575.0,0.032289215996063984,1291.0,0.18567821712788896,2574.0,[0.03778695 0.04197168 0.04661145 0.05061682],[213. 252. 279. 303.],0.03451676984215278,0.19848770208870553
12,0.9558643285090396,1579.0,0.05298232705525111,1298.0,0.17854683853889172,2581.0,[0.04608349 0.05369221 0.05500248],[252. 279. 305.],0.05542871040903172,0.18679098404832167
13,0.9600897848348169,1581.0,0.06691197375484191,1299.0,0.15997461095209634,2577.0,[0.05274739 0.05500987 0.05761205],[252. 280. 305.],0.06969345452035415,0.16662463602778557
14,0.9575758637182878,1576.0,0.03412412917297616,1292.0,0.18151809705431818,2575.0,[0.03995249 0.05027221 0.06041759],[251. 279. 304.],0.03563595373057068,0.1895600170512647
15,0.959370520328911,1578.0,0.042507615890605616,1294.0,0.1929365514685143,2576.0,[0.0432751  0.05243866 0.05313851],[252. 280. 304.],0.044307819544040485,0.2011074422032145
16,0.9546542297609241,1578.0,0.04700672085056297,1298.0,0.19237607300184958,2578.0,[0.04976665 0.05943711 0.05715853],[252. 280. 304.],0.049239525039694164,0.2015138748717708
17,0.9596164540933002,1579.0,0.04754894208386851,1298.0,0.19104747238970426,2578.0,[0.04409635 0.06641824 0.04111659 0.04936225],[252. 282. 294. 304.],0.049549944544037064,0.19908732449801175
18,0.955427058678651,1580.0,0.046106171043796065,1298.0,0.19549429595692025,2581.0,[0.04259246 0.05481211 0.06591265 0.05355901],[213. 252. 281. 304.],0.04825713342006514,0.2046145691407228
