Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity Ratio
0,0.19952947283108352,1524.0609529403175,29.6375089102808,0.928761673528134,1574.6009537172179,35.15021960398256,0.053371722770895975,1306.5662885922686,85.93617744990715,0.16347947588008088,2573.5689600957926,99.36546955210231,0.05746546642924025
1,0.21380256360250122,1528.3661510795696,31.232482913898608,0.9554274865322514,1578.3378521671848,34.239447663449354,0.04804078767833505,1298.5627984792272,54.80983252719564,0.1867067284573215,2575.561406358081,97.39970000219989,0.05028198199813187
2,0.21329976377977283,1524.8340200787109,30.328706475642058,0.9494152991536549,1575.7023621085955,32.99832672881719,0.040952134457260085,1297.7271586037127,56.65595935055035,0.16906925748029028,2572.0867167463143,104.51758642200534,0.043134057870951086
3,0.2007060353529195,1525.2454966988455,30.389574562875282,0.95656366022809,1575.825004278654,33.799376620648836,0.042121834864387885,1298.7162498916996,60.981839157852086,0.17668103952496517,2574.3351684258682,100.57646230478218,0.04403453383786715
4,0.19674355357979484,1524.4092309662924,30.2404632569777,0.9546412466835273,1575.0601486662074,34.77378984473842,0.05161167934293465,1303.470580474657,71.60937549984907,0.17110732622186922,2573.8208632791866,101.41977911855565,0.05406395284326575
5,0.21386135542453438,1524.583431410261,31.463761794187903,0.9465486274409336,1575.7855083092754,35.34028985995386,0.05919898883015667,1303.0309514953296,74.63712804571085,0.16501362682902804,2572.844579030745,106.65243064541711,0.06254194144278213
6,0.215940139433458,1524.8498117400804,30.874954788346756,0.9472670529139358,1575.8127476709935,34.36361706521149,0.052862955856806094,1300.4519859365882,64.105172974939,0.17187929780396116,2572.756765448458,105.12257955074837,0.05580575793720652
7,0.21197552263012978,1523.3008242958629,32.97281037809759,0.9436367522691961,1574.249888808727,36.75389442939802,0.06196478286839928,1302.4178280123292,74.96133663917513,0.17087670733239957,2570.642593647447,112.56522312159005,0.06566592782592498
8,0.22266807064299837,1532.750483097761,26.63445565169015,0.9592647716253339,1581.66896494263,31.70846206711035,0.0648384730979227,1298.9664013649128,47.261990247357694,0.18270341489763098,2580.74965708036,92.22537714145695,0.06759184222731686
9,0.19380524166232357,1543.5447545438794,19.48215177391001,0.956256422142648,1591.3595678470397,22.19227030502867,0.08561542050506882,1308.3250800341257,55.99412950468629,0.14599311855832584,2596.6855555328893,70.88780288572403,0.0895318645946801
10,0.1999656843340759,1526.6066116974716,31.388659119718053,0.954721456896565,1576.3675223148427,32.62385240930986,0.05266584229411631,1296.6002960221938,48.5456431384255,0.1816423204915107,2575.192188275851,95.28945967537635,0.05516356829908575
11,0.20869766574035184,1525.4930010206572,32.17265920890764,0.9364762101744845,1575.379993861959,34.362588773160525,0.037930238395846506,1295.8153910782396,50.10688921790258,0.1872977335330872,2573.4891345954093,97.65006416924676,0.04050315211827894
12,0.19443953055090382,1530.840083795165,27.778425142836596,0.9482576726561898,1579.7489243442603,30.431446957042407,0.05868173569666675,1301.6579131709138,59.50187496356708,0.17641296037902093,2579.0633265215793,95.50698658855963,0.06188374467067773
13,0.19438862964485557,1533.3859451258259,24.681096787047434,0.9464824423718255,1581.6196298757188,28.57508327134399,0.07116499384813252,1302.710126362812,63.62457115001621,0.15850102555858867,2582.307585444706,90.43985799197858,0.07518892127549404
14,0.20285834091484645,1526.8097941564706,29.681838225337337,0.9560408249105138,1576.4571106446338,32.29622036639899,0.03893572475168763,1295.7578719368587,48.517736219683556,0.18387813388497243,2573.913192139341,99.3642205058468,0.04072600639761596
15,0.20933124091402044,1528.127468502792,30.921397459483494,0.9658113889780829,1577.9354706498634,33.4099958566849,0.04767030952840495,1297.4327240925827,48.11435197057857,0.19410649677957728,2575.222993339247,97.87080930126974,0.049357783592554764
16,0.21491275264237217,1528.9801676984496,30.169705184463467,0.963682709001678,1578.910834019127,34.277236377525774,0.05312169325811566,1298.8210984257012,52.7138431932497,0.19180936091509898,2576.7956834796755,99.24516093695811,0.05512363432684893
17,0.2156678231762672,1530.5784693027538,31.454091839486633,0.971242234431756,1580.414577606395,34.51385109956449,0.05152693025595197,1299.062533599853,48.705737187147164,0.19076369581724925,2578.074574225806,97.38447971022876,0.0530526046224697
18,0.20133013111243223,1530.687177658459,34.504386528056756,0.9713032831341797,1579.626540292933,33.905177452793616,0.050545917829082215,1297.8088905396964,42.251802218654284,0.19596628162650662,2579.5837298773076,93.23763292510289,0.05203927414512775
